label,data1,data2,data3
,スシロー,くら寿司,かっぱ寿司
2022年1月,96.0,123.7,118.8
2021年12月,100.1,117.6,104.0
2021年11月,96.3,82.2,89.7
2021年10月,94.0,80.1,110.6
2021年9月,90.0,74.7,88.3
2021年8月,96.4,94.8,89.2
2021年7月,103.5,113.1,106.7
2021年6月,95.3,93.5,99.8
2021年5月,112.6,112.7,117.4
2021年4月,178.0,174.2,173.2
2021年3月,120.0,115.4,119.1
2021年2月,99.9,86.2,85.2
2021年1月,95.1,84.5,80.8
2020年12月,98.7,94.4,89.0
2020年11月,94.7,134.4,101.4
2020年10月,104.3,126.1,89.6
2020年9月,97.1,107.9,84.6
2020年8月,87.7,94.6,81.7
2020年7月,96.5,92.3,84.3
2020年6月,97.9,97.4,83.9
2020年5月,81.4,80.0,75.6
2020年4月,55.6,51.9,48.5
2020年3月,86.3,84.5,76.9
2020年2月,112.0,112.2,108.0
2020年1月,107.0,104.8,104.8
2019年12月,107.0,95.8,100.2
2019年11月,110.0,101.1,105.2
2019年10月,105.4,96.3,101.8
2019年9月,112.2,98.3,105.3
2019年8月,109.1,94.0,105.2
2019年7月,103.4,91.3,96.7
2019年6月,104.6,98.1,101.6
2019年5月,109.9,100.4,105.4
2019年4月,108.4,95.7,100.4
2019年3月,103.5,94.7,99.6
2019年2月,104.1,93.8,98.0
2019年1月,107.3,93.9,97.1
